epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,36192.8,1.02624,0.52004,1.14064,0.65018,0.65443,0.6611,0.40131,1.18621,0.53131,1.20629,0.0003268,0.0003268,0.0003268
70,36717.3,1.01818,0.52021,1.13896,0.65526,0.65453,0.66203,0.40214,1.1862,0.53054,1.20653,0.0003169,0.0003169,0.0003169
71,37241.3,1.01647,0.51523,1.13645,0.65742,0.65809,0.66285,0.40395,1.18651,0.53022,1.20693,0.000307,0.000307,0.000307
72,37766,1.00895,0.51012,1.13406,0.65303,0.65448,0.66139,0.40377,1.18697,0.52967,1.20769,0.0002971,0.0002971,0.0002971
73,38291,1.01099,0.51075,1.13497,0.65078,0.65259,0.66167,0.40322,1.18724,0.52882,1.20822,0.0002872,0.0002872,0.0002872
74,38815.4,1.00714,0.50816,1.13259,0.65119,0.65421,0.66145,0.4035,1.1875,0.52875,1.20885,0.0002773,0.0002773,0.0002773
75,39340.4,1.00353,0.50709,1.13041,0.65452,0.65437,0.66137,0.40485,1.18753,0.52799,1.20935,0.0002674,0.0002674,0.0002674
76,39865.5,0.996,0.50106,1.12653,0.65553,0.65099,0.66137,0.40461,1.18789,0.52791,1.21005,0.0002575,0.0002575,0.0002575
77,40390.5,0.99531,0.49989,1.1265,0.66258,0.64154,0.66147,0.40452,1.18838,0.52752,1.21092,0.0002476,0.0002476,0.0002476
78,40914.9,0.98885,0.49619,1.12093,0.66104,0.6373,0.66084,0.40618,1.18867,0.5271,1.21152,0.0002377,0.0002377,0.0002377
79,41440.5,0.98601,0.49264,1.1199,0.6579,0.64823,0.66116,0.40611,1.18898,0.52731,1.21226,0.0002278,0.0002278,0.0002278
80,41966,0.98826,0.49352,1.11919,0.64833,0.65106,0.6605,0.40576,1.18939,0.52733,1.21288,0.0002179,0.0002179,0.0002179
